id,c_codigopostal,c_estado,c_municipio,c_localidad
catalogos_codigo_postal461,20459,AGU,,
catalogos_codigo_postal462,20460,AGU,4,9
catalogos_codigo_postal463,20461,AGU,,
catalogos_codigo_postal464,20462,AGU,4,9
catalogos_codigo_postal465,20463,AGU,,
catalogos_codigo_postal466,20464,AGU,,
catalogos_codigo_postal467,20465,AGU,,
catalogos_codigo_postal468,20466,AGU,4,9
catalogos_codigo_postal469,20467,AGU,4,9
catalogos_codigo_postal470,20468,AGU,4,9
catalogos_codigo_postal471,20469,AGU,4,9
catalogos_codigo_postal472,20470,AGU,4,
catalogos_codigo_postal473,20471,AGU,,
catalogos_codigo_postal474,20472,AGU,4,
catalogos_codigo_postal475,20473,AGU,,
catalogos_codigo_postal476,20474,AGU,,
catalogos_codigo_postal477,20475,AGU,,
catalogos_codigo_postal478,20476,AGU,4,
catalogos_codigo_postal479,20477,AGU,,
catalogos_codigo_postal480,20478,AGU,4,
catalogos_codigo_postal481,20479,AGU,,
catalogos_codigo_postal482,20480,AGU,,
catalogos_codigo_postal483,20481,AGU,,
catalogos_codigo_postal484,20482,AGU,,
catalogos_codigo_postal485,20483,AGU,,
catalogos_codigo_postal486,20484,AGU,,
catalogos_codigo_postal487,20485,AGU,,
catalogos_codigo_postal488,20486,AGU,,
catalogos_codigo_postal489,20487,AGU,,
catalogos_codigo_postal490,20488,AGU,,
catalogos_codigo_postal491,20489,AGU,,
catalogos_codigo_postal492,20490,AGU,,
catalogos_codigo_postal493,20491,AGU,,
catalogos_codigo_postal494,20492,AGU,,
catalogos_codigo_postal495,20493,AGU,,
catalogos_codigo_postal496,20494,AGU,,
catalogos_codigo_postal497,20495,AGU,,
catalogos_codigo_postal498,20496,AGU,,
catalogos_codigo_postal499,20497,AGU,,
catalogos_codigo_postal500,20498,AGU,,
catalogos_codigo_postal501,20499,AGU,,
catalogos_codigo_postal502,20500,AGU,8,
catalogos_codigo_postal503,20501,AGU,8,
catalogos_codigo_postal504,20502,AGU,8,
catalogos_codigo_postal505,20503,AGU,8,
catalogos_codigo_postal506,20504,AGU,8,
catalogos_codigo_postal507,20505,AGU,,
catalogos_codigo_postal508,20506,AGU,8,
catalogos_codigo_postal509,20507,AGU,,
catalogos_codigo_postal510,20508,AGU,8,
catalogos_codigo_postal511,20509,AGU,,
catalogos_codigo_postal512,20510,AGU,8,
catalogos_codigo_postal513,20511,AGU,,
